B0329+54   16-Aug-18   63000.00   58346.27083333330            26.764184 -0.799 -8.931
   1435720504.162408    1.399541538720  aro  300   12   600.000                
 -1.47611510963160643e-09  6.72363028608482811e-03 -3.18870490886161886e-08
 -1.57211928180215973e-10  6.44483410455636417e-14  1.57258573628468410e-16
 -9.14656696935704428e-20 -5.65003189458292690e-22  2.35918038938788974e-24
  1.56469116522450191e-26 -3.78840408956448206e-29 -1.80006476322139408e-31
B0329+54   16-Aug-18  113000.00   58346.47916666660            26.764184 -0.794 -9.110
   1435745697.920917    1.399541538720  aro  300   12   600.000                
 -4.05943019455171035e-11  6.67415101328905965e-03 -1.06242445683487898e-07
  1.63459633445745335e-11  1.82355455732083225e-13 -2.04713898926018407e-17
 -1.11244274290039637e-19  3.28348826401637869e-22 -2.28527120440988798e-25
 -9.59450079201632210e-27  4.28634697654005104e-30  1.02473644092816914e-31
B0329+54   16-Aug-18  163000.00   58346.68749999990            26.764184 -0.790 -9.002
   1435770891.663092    1.399541538720  aro  300   12   600.000                
 -1.56280125063735838e-09  6.63227697121237473e-03 -1.03254392908115264e-08
  1.65278520295065065e-10  2.89524047517537293e-14 -1.61291675227118328e-16
 -2.86362574842470211e-21  3.57994636876770538e-22 -6.05239704344522335e-25
 -1.24048403797233306e-26  9.69646955846047464e-30  1.96468907361662721e-31
B0329+54   16-Aug-18  213000.00   58346.89583333330            26.764184 -0.792 -8.949
   1435796085.403867    1.399541538720  aro  300   12   600.000                
 -3.41618240157141902e-11  6.66753481800616467e-03  1.12801806498039151e-07
  6.78718245266183204e-11 -1.67640531113560621e-13 -7.18984401478925779e-17
  1.17317959973099994e-19  6.23178239880332668e-22 -3.33909858775435217e-25
 -2.29745662687271860e-26  1.94406609671939573e-30  3.29603980202427830e-31
B0329+54   17-Aug-18   63000.00   58347.27083333330            26.764184 -0.802 -9.039
   1435841434.179307    1.399541538720  aro  300   12   600.000                
  1.10953785470362732e-10  6.74603587708056274e-03 -3.44097413340130120e-08
 -1.56104585097865302e-10  6.70324572919503264e-14  1.43555318133800300e-16
 -4.71321038250083196e-20  3.43753239999167619e-22  7.47893063070461705e-26
 -1.29100859503199679e-26  8.62454126725039565e-31  1.43443489545851150e-31
B0329+54   17-Aug-18  113000.00   58347.47916666660            26.764183 -0.797 -8.955
   1435866627.944358    1.399541538720  aro  300   12   600.000                
 -2.05754159778173032e-09  6.69557527513864152e-03 -1.06706572755894280e-07
  1.91659936770813109e-11  1.81974797046591811e-13 -1.64298218211277159e-17
 -1.17096267471986659e-19 -6.44425003890733695e-23  2.90470930583776813e-25
 -4.67663232576198105e-28 -5.81072791143160189e-30  4.38396457658271903e-32
B0329+54   17-Aug-18  163000.00   58347.68749999990            26.764183 -0.793 -8.992
   1435891821.692987    1.399541538720  aro  300   12   600.000                
  4.27423296202756649e-10  6.65405810172146287e-03 -9.04755035691809771e-09
  1.65710231290778284e-10  2.60841945318041832e-14 -1.60685124939884011e-16
 -2.42007230039869333e-20  2.46328264286607749e-22  4.85245484365707865e-25
 -7.05761334582504291e-27 -9.88892238512869813e-30  1.04806878655503471e-31
B0329+54   17-Aug-18  213000.00   58347.89583333330            26.764183 -0.794 -8.923
   1435917015.440398    1.399541538720  aro  300   12   600.000                
 -6.72419996695998311e-10  6.68987647277171586e-03  1.12914263422742420e-07
  6.52019452086940852e-11 -1.68530058906926818e-13 -6.44939582358767087e-17
  8.25369616689198099e-20  2.40010274353156022e-22  9.82163765216259175e-25
 -9.25945936779634877e-27 -1.37705010692658459e-29  1.46017105225272520e-31
