B0329+54    5-Dec-18  230000.00   58457.95833333330            26.764152  0.123 -9.687
   1449226485.191740    1.399541538720  aro  300   12   600.000                
 -6.98645196564696977e-11 -1.01748738961446490e-03 -7.76856628332559462e-08
 -1.59296674736170338e-10  5.66597196773539855e-14  1.53062868865684176e-16
 -3.55089233079969087e-20 -1.00278285106152278e-22 -1.27870716754671780e-26
  3.62803161409336472e-28  3.73628043681918048e-31  5.93019086855522320e-33
B0329+54    6-Dec-18   40000.00   58458.16666666660            26.764152  0.131 -9.630
   1449251676.623683    1.399541538720  aro  300   12   600.000                
 -2.81392965876189690e-10 -1.09566355806318635e-03 -1.56838889703794686e-07
  9.40619480015604984e-12  1.82938822451722932e-13 -8.47406443194224089e-18
 -1.16152048257705555e-19 -3.96332882514105489e-23  1.75726650744436190e-26
  1.71018125328846844e-27  1.44540496517185506e-31 -2.45588428953102727e-32
B0329+54    6-Dec-18   90000.00   58458.37499999990            26.764152  0.139 -9.561
   1449276868.030194    1.399541538720  aro  300   12   600.000                
  1.86851639221264354e-10 -1.16944609269786846e-03 -6.52002324530831738e-08
  1.64130258680035638e-10  3.67700642740061640e-14 -1.57501714848867225e-16
 -1.86574470882470675e-20  8.48254208799958304e-23 -2.90000081534883909e-25
  3.57357219012718661e-28  5.58118346903028755e-30 -1.73604162272818279e-32
B0329+54    6-Dec-18  140000.00   58458.58333333330            26.764152  0.141 -9.648
   1449302059.425543    1.399541538720  aro  300   12   600.000                
  3.26938757656955874e-10 -1.16661477318038003e-03  6.07814923772366760e-08
  7.44383094120454462e-11 -1.64147757838083888e-13 -7.14802476095100502e-17
  1.01882006980470865e-19  4.24438552723300659e-23  9.21831498405449652e-26
 -1.74206249583580491e-29 -1.77428035115130511e-30 -4.06306533258207827e-33
B0329+54    6-Dec-18  230000.00   58458.95833333330            26.764152  0.137 -9.569
   1449347403.956401    1.399541538720  aro  300   12   600.000                
  4.71133122832149420e-10 -1.13910396380871516e-03 -7.94550085224468332e-08
 -1.58368948020932999e-10  5.95841534987308524e-14  1.51452388578095637e-16
 -3.10272312175548919e-20 -8.39445000994017453e-23 -2.67200540647739711e-25
  1.32626601868739205e-27  3.84012322015944102e-30 -2.77388281046500318e-32
B0329+54    7-Dec-18   40000.00   58459.16666666660            26.764152  0.146 -9.610
   1449372595.351746    1.399541538720  aro  300   12   600.000                
 -5.71321998460930241e-10 -1.21783071151548958e-03 -1.56601586105910719e-07
  1.22880299753114558e-11  1.82687658583321474e-13 -1.14036375865562969e-17
 -1.11468884418555520e-19 -1.54363879551387791e-23 -1.82766254329737508e-25
  5.99495158831379694e-28  3.49138011021973172e-30 -7.05362303381019036e-33
B0329+54    7-Dec-18   90000.00   58459.37499999990            26.764152  0.153 -9.575
   1449397786.721697    1.399541538720  aro  300   12   600.000                
 -3.39444774080073923e-10 -1.29081856657540031e-03 -6.31470140968730810e-08
  1.64687578098228408e-10  3.37096582555125339e-14 -1.57661026420360325e-16
 -2.51770688831828636e-20  5.47860783021538801e-23  2.28147307155909971e-25
  1.34163294165005806e-27 -4.05893490417670880e-30 -2.72426170628842631e-32
B0329+54    7-Dec-18  140000.00   58459.58333333330            26.764152  0.156 -9.671
   1449422978.080810    1.399541538720  aro  300   12   600.000                
  9.84088985597113961e-11 -1.28693114271049625e-03  6.17624037900192392e-08
  7.18453004800557068e-11 -1.65490851129817237e-13 -6.81664564447549081e-17
  9.92673014729830629e-20 -1.54754390403113012e-23  2.71590473859718559e-25
  1.61920200785416417e-27 -5.13668252166236133e-30 -1.89687538713392409e-32
